Custom,99999,,,,
Methanol,6.47,,,,
Ethanol,9,,,,
Butanol,11.2,,,,
Diesel,14.5,,,,
Gasoline,14.7,,,,
Propane,15.67,,,,
Methane,17.19,,,,
Hydrogen,34.3,,,,
Ammonia,6.0466,,,,`
Pentane,15.32,,,,
Butane,14.98,,,,
Hexane,15.24,,,,
,,,,,
